DevType,EdLevel,YearsCodePro,LanguageWorkedWith,ConvertedComp
System administrator,Associate degree,1,Bash/Shell/PowerShell;SQL,68705.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,HTML/CSS;JavaScript;PHP,74048.0
Academic researcher,"Bachelor’s degree (BA, BS, B.Eng., etc.)",40,Bash/Shell/PowerShell;Python;R;SQL;Other(s):,76339.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,51147.0
Designer,Associate degree,3,HTML/CSS;JavaScript;VBA,49600.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;Go;Java;Python;Rust;SQL,36642.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;C++;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL,122142.0
Data scientist or machine learning specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35,C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL,90000.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35,Bash/Shell/PowerShell;Java;JavaScript;Python,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C#;JavaScript;Swift,76339.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C#;HTML/CSS;SQL;VBA,53437.0
"Developer, game or graphics","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,C#;HTML/CSS;JavaScript;SQL;TypeScript;Other(s):,57254.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;PHP;Python;SQL,122142.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;HTML/CSS;Python;Swift;TypeScript,45803.0
"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13,JavaScript,153440.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Bash/Shell/PowerShell;Python;SQL;Swift,90079.0
"Engineer, site reliability","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,28650.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",36,Bash/Shell/PowerShell;C++;C#;Java;Python;R;SQL,93896.0
Engineering manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;C++,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;VBA,40459.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C#;VBA,53437.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript,45803.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Java;JavaScript;SQL;Other(s):,68705.0
"Developer, QA or test",Associate degree,3,C#;HTML/CSS;JavaScript;SQL,45803.0
"Developer, QA or test",I never completed any formal education,30,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL,122142.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C#;HTML/CSS;Java;JavaScript;TypeScript,99240.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C#;F#;TypeScript,154443.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",15,C#;HTML/CSS;JavaScript;TypeScript,49620.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,42950.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,72522.0
"Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,Bash/Shell/PowerShell;JavaScript;PHP;SQL;TypeScript,122142.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,65651.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA,53437.0
"Developer, front-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",4,HTML/CSS;JavaScript;Python;SQL,76339.0
"Developer, front-end",Associate degree,18,C#;HTML/CSS;JavaScript;Python;SQL,72522.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,66033.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;JavaScript;Python;Swift,69468.0
Designer,Associate degree,21,C#;HTML/CSS;JavaScript;SQL,82064.0
Engineering manager,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,Bash/Shell/PowerShell;JavaScript;PHP;SQL;TypeScript,122142.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,114508.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;HTML/CSS;JavaScript,38472.0
"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,Go;HTML/CSS;JavaScript;SQL,39696.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;TypeScript,61071.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,62840.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,C++;C#;F#,71758.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C#;HTML/CSS;Java;JavaScript;Python;SQL,53437.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",15,HTML/CSS;Java;JavaScript;Python;SQL,76339.0
"Developer, back-end",,15,C#;Python;SQL,83972.0
Engineering manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,96187.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C++;C#;TypeScript,34352.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,HTML/CSS;JavaScript;PHP;Python;SQL,38551.0
"Developer, full-stack",Some college/university study without earning a degree,17,Bash/Shell/PowerShell;Clojure;HTML/CSS;JavaScript;Ruby;SQL;Other(s):,61071.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;Go;HTML/CSS;JavaScript;Python;Scala;SQL,76339.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;TypeScript,40459.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",23,Bash/Shell/PowerShell;C;C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript,141226.0
"Developer, back-end",Associate degree,1,HTML/CSS;JavaScript;SQL,45803.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,HTML/CSS;Java;JavaScript;SQL,88553.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;JavaScript;SQL,76339.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",23,HTML/CSS;JavaScript;Ruby,151914.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Bash/Shell/PowerShell;Python;SQL;Swift,90079.0
"Developer, full-stack",Some college/university study without earning a degree,10,Bash/Shell/PowerShell;PHP;SQL,83972.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;C++;JavaScript;Python,85499.0
"Developer, QA or test",Associate degree,21,C#;HTML/CSS;JavaScript;SQL,82064.0
"Developer, front-end",Associate degree,14,HTML/CSS;Java;JavaScript;SQL;Other(s):,62598.0
DevOps specialist,Some college/university study without earning a degree,20,Bash/Shell/PowerShell;C++;C#;HTML/CSS;SQL,156494.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Clojure;SQL,122142.0
"Developer, front-end",Associate degree,12,C#;HTML/CSS;JavaScript;SQL;TypeScript,64888.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Java;SQL;Swift,100767.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Clojure;HTML/CSS;Java;JavaScript;Scala;SQL,103057.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;Python;Ruby;SQL,38169.0
Product manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Go;HTML/CSS;Java;JavaScript;PHP;SQL,61071.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",30,C#;HTML/CSS;JavaScript;TypeScript,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;Python;SQL,37940.0
"Engineer, site reliability","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Python;Other(s):,54964.0
Educator,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",30,C;C++;Java,106874.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,Python;SQL,97713.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;TypeScript,53437.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,Bash/Shell/PowerShell;Python;SQL,83972.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;Java;SQL;Swift,65651.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;JavaScript;SQL,99240.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C#;HTML/CSS;Java;JavaScript;PHP;SQL,51910.0
Product manager,"Other doctoral degree (Ph.D, Ed.D., etc.)",18,Bash/Shell/PowerShell;Python,83972.0
"Developer, embedded applications or devices","Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,Java;Python,106874.0
Designer,Some college/university study without earning a degree,18,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;Kotlin;Python;SQL,57254.0
Designer,Some college/university study without earning a degree,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,54964.0
"Developer, desktop or enterprise applications","Master’s degree (MA, MS, M.Eng., MBA, etc.)",30,Bash/Shell/PowerShell;C++;C#;Go;HTML/CSS;Java;Ruby,99240.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C++;Java;PHP;Python;Scala;SQL,145043.0
"Developer, mobile",Some college/university study without earning a degree,3,Java;JavaScript;Kotlin;Ruby;SQL,76339.0
"Developer, front-end",Some college/university study without earning a degree,11,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,59544.0
"Developer, mobile",Some college/university study without earning a degree,2,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;SQL;Swift,34352.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,,34368.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",21,HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift;TypeScript,68705.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Clojure;HTML/CSS,53437.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C#;Python,43513.0
DevOps specialist,,8,Bash/Shell/PowerShell;Go;HTML/CSS;SQL,85499.0
Data scientist or machine learning specialist,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4,Python;SQL,110691.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;C++;JavaScript;Python;Ruby;Scala,61071.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",22,HTML/CSS;JavaScript;Python,74430.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Objective-C;PHP;Swift,91606.0
"Developer, back-end",Some college/university study without earning a degree,3,Bash/Shell/PowerShell;HTML/CSS;SQL,57254.0
Database administrator,Associate degree,2,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;SQL;TypeScript,53437.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;Kotlin;SQL;TypeScript,39696.0
"Developer, back-end",Associate degree,15,C#;HTML/CSS;JavaScript;SQL;TypeScript,74812.0
"Developer, desktop or enterprise applications","Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,Bash/Shell/PowerShell;C#;R,91606.0
DevOps specialist,Associate degree,7,C#;Dart;Go;HTML/CSS;JavaScript;Python,49620.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,61071.0
"Developer, front-end",Associate degree,1,Bash/Shell/PowerShell;JavaScript;PHP;SQL;TypeScript,32826.0
"Developer, mobile","Master’s degree (MA, MS, M.Eng., MBA, etc.)",26,Bash/Shell/PowerShell;Java;JavaScript;Kotlin;Swift,91606.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Assembly;C;C++;JavaScript;Python,54964.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;Java,32062.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,45803.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",16,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,83972.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;Go;JavaScript;PHP;Python;SQL;Other(s):,39250.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C++;C#;HTML/CSS;JavaScript,83972.0
Data scientist or machine learning specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Python,94000.0
